equipment_id,equipment_name,equipment_type,manufacturer,model,serial_number,install_date,factory_location,production_line,status,criticality,last_maintenance_date
EQ-0001,CNC_MACHINE EQ-0001,CNC_MACHINE,"Rodriguez, Figueroa and Sanchez",Model-5506,SN-21819600,2021-10-07,Factory_South,Line_B,ACTIVE,LOW,2026-03-16
EQ-0002,CNC_MACHINE EQ-0002,ASSEMBLY_ROBOT,"Johnson, Gonzalez and Santos",Model-2424,SN-86379402,2024-03-08,Factory_West,Line_A,ACTIVE,HIGH,2026-03-26
EQ-0003,ROBOTIC_ARM EQ-0003,ROBOTIC_ARM,Lewis LLC,Model-9279,SN-11615594,2024-08-15,Factory_North,Line_B,MAINTENANCE,HIGH,2026-04-30
EQ-0004,HYDRAULIC_PRESS EQ-0004,ASSEMBLY_ROBOT,"Martinez, Nielsen and Miller",Model-5557,SN-49593103,2024-06-26,Factory_North,Line_B,MAINTENANCE,MEDIUM,2026-05-23
EQ-0005,CONVEYOR_BELT EQ-0005,ROBOTIC_ARM,Delacruz Group,Model-4527,SN-47525534,2024-03-14,Factory_East,Line_A,ACTIVE,MEDIUM,2026-04-26
EQ-0006,CNC_MACHINE EQ-0006,CONVEYOR_BELT,Lynch and Sons,Model-6635,SN-83276483,2024-02-18,Factory_East,Line_A,MAINTENANCE,LOW,2026-05-10
EQ-0007,CNC_MACHINE EQ-0007,HYDRAULIC_PRESS,Perez Inc,Model-2291,SN-56413953,2024-01-06,Factory_East,Line_C,ACTIVE,LOW,2026-03-31
EQ-0008,CNC_MACHINE EQ-0008,CNC_MACHINE,"Ellis, Baker and Wright",Model-4733,SN-88496965,2022-04-09,Factory_East,Line_A,ACTIVE,HIGH,2026-05-24
EQ-0009,HYDRAULIC_PRESS EQ-0009,CONVEYOR_BELT,"Snyder, Campos and Callahan",Model-8428,SN-22691669,2025-05-18,Factory_East,Line_B,ACTIVE,MEDIUM,2026-04-12
EQ-0010,ROBOTIC_ARM EQ-0010,CONVEYOR_BELT,"Valencia, Smith and Le",Model-2169,SN-84514627,2021-05-28,Factory_South,Line_B,ACTIVE,MEDIUM,2026-04-29
EQ-0011,HYDRAULIC_PRESS EQ-0011,CONVEYOR_BELT,"Baker, Mason and White",Model-4598,SN-14893252,2023-07-21,Factory_East,Line_A,ACTIVE,HIGH,2026-05-05
EQ-0012,CONVEYOR_BELT EQ-0012,HYDRAULIC_PRESS,"Sellers, George and Burns",Model-5386,SN-15430391,2021-09-26,Factory_North,Line_B,ACTIVE,HIGH,2026-04-08
EQ-0013,HYDRAULIC_PRESS EQ-0013,HYDRAULIC_PRESS,Spence PLC,Model-8517,SN-22782489,2023-02-01,Factory_South,Line_C,ACTIVE,HIGH,2026-03-15
EQ-0014,ASSEMBLY_ROBOT EQ-0014,ASSEMBLY_ROBOT,"Campos, Vaughn and Marquez",Model-5304,SN-65787133,2021-08-25,Factory_West,Line_D,ACTIVE,HIGH,2026-02-25
EQ-0015,ROBOTIC_ARM EQ-0015,ASSEMBLY_ROBOT,"Hall, Robinson and Jones",Model-9085,SN-03105183,2022-07-04,Factory_North,Line_A,ACTIVE,HIGH,2026-04-08
EQ-0016,ROBOTIC_ARM EQ-0016,HYDRAULIC_PRESS,"Anderson, Walls and Duncan",Model-2040,SN-73763116,2022-10-23,Factory_West,Line_D,MAINTENANCE,LOW,2026-04-01
EQ-0017,CONVEYOR_BELT EQ-0017,ASSEMBLY_ROBOT,"Brown, Valdez and Lucas",Model-1188,SN-06513338,2023-03-10,Factory_North,Line_C,ACTIVE,HIGH,2026-04-02
EQ-0018,CONVEYOR_BELT EQ-0018,HYDRAULIC_PRESS,Ford-Baxter,Model-3591,SN-17810801,2025-02-05,Factory_West,Line_A,ACTIVE,LOW,2026-05-11
EQ-0019,ROBOTIC_ARM EQ-0019,ASSEMBLY_ROBOT,Russell Group,Model-2743,SN-36026064,2025-02-05,Factory_East,Line_B,ACTIVE,MEDIUM,2026-05-05
EQ-0020,ROBOTIC_ARM EQ-0020,ASSEMBLY_ROBOT,Henderson-Bernard,Model-9689,SN-87234309,2024-05-02,Factory_North,Line_C,MAINTENANCE,HIGH,2026-03-01
EQ-0021,CNC_MACHINE EQ-0021,CONVEYOR_BELT,Brown-Silva,Model-6038,SN-88208121,2023-10-10,Factory_South,Line_A,ACTIVE,LOW,2026-04-25
EQ-0022,CNC_MACHINE EQ-0022,CNC_MACHINE,Powell PLC,Model-8962,SN-39909169,2023-08-27,Factory_North,Line_B,ACTIVE,LOW,2026-03-24
EQ-0023,HYDRAULIC_PRESS EQ-0023,ASSEMBLY_ROBOT,Harris-Moran,Model-3705,SN-34624751,2021-06-06,Factory_East,Line_D,ACTIVE,LOW,2026-04-20
EQ-0024,ROBOTIC_ARM EQ-0024,CONVEYOR_BELT,"Ferrell, Jones and Lewis",Model-7537,SN-42513542,2023-02-23,Factory_East,Line_D,MAINTENANCE,HIGH,2026-04-13
EQ-0025,ROBOTIC_ARM EQ-0025,ROBOTIC_ARM,Carr-Archer,Model-2049,SN-80841241,2024-12-13,Factory_East,Line_A,ACTIVE,LOW,2026-05-01
EQ-0026,ROBOTIC_ARM EQ-0026,CNC_MACHINE,Nelson PLC,Model-2163,SN-35348740,2021-10-05,Factory_North,Line_B,ACTIVE,HIGH,2026-04-03
EQ-0027,CONVEYOR_BELT EQ-0027,CNC_MACHINE,Williams-Cook,Model-9423,SN-24278680,2021-11-03,Factory_South,Line_C,MAINTENANCE,HIGH,2026-05-20
EQ-0028,ASSEMBLY_ROBOT EQ-0028,ROBOTIC_ARM,"Mckee, Gardner and Davenport",Model-8744,SN-98262045,2024-12-27,Factory_South,Line_D,MAINTENANCE,HIGH,2026-05-06
EQ-0029,CNC_MACHINE EQ-0029,CNC_MACHINE,Nolan and Sons,Model-8062,SN-31586923,2024-11-07,Factory_East,Line_D,MAINTENANCE,MEDIUM,2026-05-22
EQ-0030,CNC_MACHINE EQ-0030,CNC_MACHINE,Keith Inc,Model-1993,SN-25634216,2024-11-18,Factory_West,Line_C,ACTIVE,HIGH,2026-05-12
EQ-0031,ROBOTIC_ARM EQ-0031,ROBOTIC_ARM,Gonzalez Group,Model-9786,SN-54330365,2022-07-05,Factory_West,Line_B,MAINTENANCE,HIGH,2026-03-02
EQ-0032,CONVEYOR_BELT EQ-0032,HYDRAULIC_PRESS,Bell-Hicks,Model-5092,SN-85014294,2021-07-18,Factory_North,Line_D,ACTIVE,HIGH,2026-04-18
EQ-0033,ASSEMBLY_ROBOT EQ-0033,CNC_MACHINE,Chandler-Edwards,Model-2528,SN-98169340,2024-03-24,Factory_South,Line_B,MAINTENANCE,MEDIUM,2026-02-24
EQ-0034,HYDRAULIC_PRESS EQ-0034,ROBOTIC_ARM,"Mcdaniel, Bentley and Mclaughlin",Model-7570,SN-35615951,2024-04-09,Factory_North,Line_B,MAINTENANCE,HIGH,2026-03-23
EQ-0035,HYDRAULIC_PRESS EQ-0035,CONVEYOR_BELT,Estrada-Nguyen,Model-8454,SN-48236629,2023-09-02,Factory_East,Line_D,MAINTENANCE,HIGH,2026-04-01
EQ-0036,ROBOTIC_ARM EQ-0036,CONVEYOR_BELT,Torres and Sons,Model-4566,SN-69957773,2023-06-09,Factory_North,Line_A,ACTIVE,HIGH,2026-05-06
EQ-0037,CNC_MACHINE EQ-0037,ASSEMBLY_ROBOT,"Jackson, Miller and Robertson",Model-8811,SN-95134332,2021-06-28,Factory_South,Line_A,ACTIVE,HIGH,2026-03-18
EQ-0038,CNC_MACHINE EQ-0038,ASSEMBLY_ROBOT,Carr-Mack,Model-2113,SN-76936763,2021-12-25,Factory_South,Line_D,ACTIVE,LOW,2026-04-26
EQ-0039,ROBOTIC_ARM EQ-0039,ASSEMBLY_ROBOT,Osborne and Sons,Model-1651,SN-28708317,2021-12-04,Factory_North,Line_D,ACTIVE,MEDIUM,2026-04-06
EQ-0040,ROBOTIC_ARM EQ-0040,CONVEYOR_BELT,"Travis, Larson and Dodson",Model-4910,SN-79868727,2023-03-12,Factory_East,Line_D,ACTIVE,LOW,2026-05-02
