equipment_id,sensor_type,timestamp,value,unit,sensor_id,data_source,quality_flag
EQ-0074,pressure,2026-05-25T14:28:18.979420,111.59,psi,EQ-0074-pressure-001,SCADA_v2.3,GOOD
EQ-0075,vibration,2026-05-25T14:28:19.788145,0.013,mm_per_sec,EQ-0075-vibration-001,SCADA_v2.3,GOOD
EQ-0075,vibration,2026-05-25T14:28:19.788145,0.013,mm_per_sec,EQ-0075-vibration-001,SCADA_v2.3,GOOD
EQ-0070,vibration,2026-05-25T14:28:20.058511,0.0084,mm_per_sec,EQ-0070-vibration-001,SCADA_v2.3,GOOD
EQ-0092,temperature,2026-05-25T14:28:20.168573,N/A,celsius,EQ-0092-temperature-001,SCADA_v2.3,INVALID
EQ-0095,vibration,2026-05-25T14:28:20.488530,0.0063,mm_per_sec,EQ-0095-vibration-001,SCADA_v2.3,GOOD
EQ-0010,pressure,2026-05-25T14:28:20.721693,106.21,psi,EQ-0010-pressure-001,SCADA_v2.3,GOOD
EQ-0097,power_consumption,2026-05-25T14:28:20.795544,63.21,kw,EQ-0097-power_consumption-001,SCADA_v2.3,GOOD
EQ-0057,power_consumption,2026-05-25T14:28:20.980148,272.67,kw,EQ-0057-power_consumption-001,SCADA_v2.3,GOOD
EQ-0012,power_consumption,2026-05-25T14:28:21.107752,72.76,kw,EQ-0012-power_consumption-001,SCADA_v2.3,GOOD
EQ-0098,power_consumption,2026-05-25T14:28:21.669832,60.8,kw,EQ-0098-power_consumption-001,SCADA_v2.3,GOOD
EQ-0001,temperature,2026-05-25T14:28:22.678662,50.2,celsius,EQ-0001-temperature-001,SCADA_v2.3,GOOD
EQ-0099,pressure,2026-05-25T14:28:22.688111,101.76,psi,EQ-0099-pressure-001,SCADA_v2.3,GOOD
EQ-0054,vibration,2026-05-25T14:28:23.488044,0.0053,mm_per_sec,EQ-0054-vibration-001,SCADA_v2.3,GOOD
EQ-0078,power_consumption,2026-05-25T14:28:23.651746,80.74,kw,EQ-0078-power_consumption-001,SCADA_v2.3,GOOD
EQ-0039,temperature,2026-05-25T14:28:23.817744,4756.0,celsius,EQ-0039-temperature-001,SCADA_v2.3,OUTLIER
EQ-0067,vibration,2026-05-25T14:28:23.832854,0.0361,mm_per_sec,EQ-0067-vibration-001,SCADA_v2.3,GOOD
EQ-0047,power_consumption,2026-05-25T14:28:24.131903,114.33,kw,EQ-0047-power_consumption-001,SCADA_v2.3,GOOD
EQ-0002,pressure,2026-05-25T14:28:24.327362,102.04,psi,EQ-0002-pressure-001,SCADA_v2.3,GOOD
EQ-0022,power_consumption,2026-05-25T14:28:24.633144,N/A,kw,EQ-0022-power_consumption-001,SCADA_v2.3,INVALID
EQ-0027,temperature,2026-05-25T14:28:24.953317,,celsius,EQ-0027-temperature-001,SCADA_v2.3,MISSING
EQ-0008,pressure,2026-05-25T14:28:25.109652,81.25,psi,EQ-0008-pressure-001,SCADA_v2.3,GOOD
